slot_index,rho,sigma,mass_GeV,T2,T3,singlet,colored,j_first
0,R1,triv,8.760617452004825e-13,0.03647450843757885,0.5,0,1,0.5
1,R1,std,7.339390160570928e-12,0.3055728090000842,0.5,1,1,0.5
2,R1,gal,6.671796144816398e-11,2.7777777777777772,0.5,1,1,2.5
3,R2,triv,161.4325156955167,1.7135254915624214,0.5,0,1,3.5
4,R2,std,261.6965180371424,2.7777777777777772,0.5,1,1,2.5
5,R2,gal,197.3175491401168,2.094427190999916,-0.5,1,1,1.5
6,R3,triv,4.456937154783209e-09,0.3055728090000842,-0.5,1,1,1
7,R3,std,5.319995335640418e-10,0.03647450843757885,-0.5,1,1,0
8,R3,gal,5.834206478472344e-08,4.0,-0.5,1,1,2
9,R4,triv,5.975041744236901,2.094427190999916,-0.5,1,1,3
10,R4,std,11.411314310495198,4.0,-0.5,1,1,2
11,R4,gal,4.888394490816145,1.7135254915624214,-0.5,1,1,0
12,R5,triv,7.971255648546632,2.7777777777777772,-0.5,1,1,3
13,R5,std,19.66888764510566,6.854101966249686,-0.5,1,1,2
14,R5,gal,0.41867658923185763,0.1458980337503154,-0.5,1,1,1
15,R6,triv,5.953953251282675e-07,1.0,0.5,1,1,1.5
16,R6,std,4.09357399421167e-07,0.6875388202501894,-0.5,1,1,0.5
17,R6,gal,2.805777356271477e-06,4.71246117974981,-0.5,1,1,1.5
18,R7,triv,0.0005218429023254378,2.25,-0.5,1,1,2
19,R7,std,0.0009277207152452227,4.0,-0.5,1,1,1
20,R7,gal,0.0009277207152452227,4.0,-0.5,1,1,1
21,R8,triv,0.03156554537390754,4.0,0.5,1,1,2.5
22,R8,std,0.10329958832789618,13.090169943749475,-0.5,1,1,1.5
23,R8,gal,0.01507120682425709,1.909830056250526,-0.5,1,1,0.5
