 l   lensed shift   unlensed shift   lensing-step shift   run 2 lensing correction
 2   +0.00153       +0.00153         +0.00000             -3.2e-06
 3   +0.00108       +0.00108         +0.00000             -6.8e-06
 4   +0.00071       +0.00071         +0.00000             -1.2e-05
 5   +0.00045       +0.00045         +0.00000             -1.9e-05
 6   +0.00028       +0.00028         +0.00000             -2.7e-05
 7   +0.00016       +0.00016         +0.00000             -3.7e-05
 8   +0.00006       +0.00006         +0.00000             -4.8e-05
 9   -0.00001       -0.00001         +0.00000             -6.0e-05
10   -0.00004       -0.00004         +0.00000             -7.3e-05
11   -0.00004       -0.00004         +0.00000             -8.7e-05
12   -0.00003       -0.00003         +0.00000             -1.0e-04
13   -0.00006       -0.00006         +0.00000             -1.2e-04
14   -0.00011       -0.00011         +0.00000             -1.3e-04
15   -0.00011       -0.00011         +0.00000             -1.5e-04
16   -0.00013       -0.00013         +0.00000             -1.7e-04
17   -0.00018       -0.00018         +0.00000             -1.8e-04
18   -0.00018       -0.00018         +0.00000             -2.0e-04
19   -0.00017       -0.00017         +0.00000             -2.2e-04
20   -0.00020       -0.00020         +0.00000             -2.4e-04
21   -0.00024       -0.00024         +0.00000             -2.6e-04
22   -0.00026       -0.00026         +0.00000             -2.8e-04
23   -0.00024       -0.00024         +0.00000             -2.9e-04
24   -0.00019       -0.00019         +0.00000             -3.1e-04
25   -0.00021       -0.00021         +0.00000             -3.3e-04
26   -0.00033       -0.00033         +0.00000             -3.5e-04
27   -0.00050       -0.00050         +0.00000             -3.7e-04
28   -0.00062       -0.00062         +0.00000             -3.9e-04
29   -0.00063       -0.00063         +0.00000             -4.0e-04
